name,lat,lon,country,score_growth_rate,score_saturation,score_competition,industry,overall_score
"shenzhen luckcome technology inc.,ltd.",22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
ams healthcare (pty) ltd,-25.98,28.12,south africa,,4.50425314,0.1125468945,medical devices,2.308400017
"caresono technology co., ltd",22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
h/p/cosmos sports & medical gmbh,48.13,11.57,germany,,2.830650556,0.9170487703,medical devices,1.873849663
van hook dental studio,33.41,-111.9,united states,,1.409205104,10,medical devices,5.704602552
mediplus limited,51.56,-0.7,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
sesa elektronik,41.01,28.94,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
"miracle-ear, inc.",44.98,-93.26,united states,,1.409205104,10,medical devices,5.704602552
safety first aid group,51.51,-0.09,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
sns,34.21,-119.03,united states,,1.409205104,10,medical devices,5.704602552
"medical extrusion technologies, inc.",33.55,-117.21,united states,,1.409205104,10,medical devices,5.704602552
nxthera,45.07,-93.45,united states,,1.409205104,10,medical devices,5.704602552
a.f.m. s.p.a. (azienda farmaceutica municipalizzata s.p.a.),43.47,11.86,italy,,3.351028959,0.7669862443,medical devices,2.059007602
cropper medical inc / pro bio skin,42.19,-122.7,united states,,1.409205104,10,medical devices,5.704602552
mendell,44.64,-93.24,united states,,1.409205104,10,medical devices,5.704602552
carville limited,51.21,-0.33,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
asdia,48.58,7.74,france,,2.92504587,0.5627344727,medical devices,1.743890172
physiol,50.63,5.56,belgium,,2.111148829,0.1125468945,medical devices,1.111847862
tomtec imaging systems gmbh,47.8,12.53,germany,,2.830650556,0.9170487703,medical devices,1.873849663
arsak,62.41,11,norway,,4.033881268,0.06669445602,medical devices,2.050287862
"pneumrx, inc., a btg international group company",37.38,-122.08,united states,,1.409205104,10,medical devices,5.704602552
belmont equip us,40.49,-74.48,united states,,1.409205104,10,medical devices,5.704602552
invitro diagnostics,47,28.85,moldova,,6.403907967,0.004168403501,medical devices,3.204038185
ocular instruments,47.61,-122.19,united states,,1.409205104,10,medical devices,5.704602552
"orthotic & prosthetic lab, inc.",38.62,-90.19,united states,,1.409205104,10,medical devices,5.704602552
"engineered medical systems, llc",35.2,-89.87,united states,,1.409205104,10,medical devices,5.704602552
sensyne health,51.75,-1.25,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
alps south,27.77,-82.67,united states,,1.409205104,10,medical devices,5.704602552
tenex health,33.64,-117.68,united states,,1.409205104,10,medical devices,5.704602552
universal medical aesthetics,40.78,-73.96,united states,,1.409205104,10,medical devices,5.704602552
harry lawall & son,39.95,-75.16,united states,,1.409205104,10,medical devices,5.704602552
adlens,51.78,-1.37,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
primedic,48.16,8.61,germany,,2.830650556,0.9170487703,medical devices,1.873849663
bactiguard ab,59.2,17.9,sweden,,2.304630783,0.1375573155,medical devices,1.221094049
lingraphica,40.34,-74.65,united states,,1.409205104,10,medical devices,5.704602552
opt surgisystems,46.07,11.12,italy,,3.351028959,0.7669862443,medical devices,2.059007602
combat medical systems,35.32,-80.65,united states,,1.409205104,10,medical devices,5.704602552
asclepion laser technologies gmbh,50.92,11.58,germany,,2.830650556,0.9170487703,medical devices,1.873849663
newtech medical devices,28.41,77.31,india,,5.617063078,1.092121717,medical devices,3.354592398
d-entity s.r.l.,44.65,10.91,italy,,3.351028959,0.7669862443,medical devices,2.059007602
starkey italy s.r.l.,45.52,9.33,italy,,3.351028959,0.7669862443,medical devices,2.059007602
vinamed,21.02,105.84,vietnam,,6.677947697,0.0125052105,medical devices,3.345226454
balgrist tec ag,47.36,8.55,switzerland,,1.452147924,0.3668195081,medical devices,0.9094837162
guney di̇ş deposu ti̇c. ve san. a.ş.,40.99,29.13,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
care mentor ai,39.74,-75.54,united states,,1.409205104,10,medical devices,5.704602552
servoprax gmbh,51.66,6.61,germany,,2.830650556,0.9170487703,medical devices,1.873849663
bag diagnostics gmbh,50.52,8.81,germany,,2.830650556,0.9170487703,medical devices,1.873849663
voluntis,48.87,2.22,france,,2.92504587,0.5627344727,medical devices,1.743890172
1000medic,-26.22,-52.67,brazil,,4.538669294,1.033764068,medical devices,2.786216681
certus laboratorio,32.53,-117.01,mexico,,3.692419571,0.3334722801,medical devices,2.012945926
mult med equipamentos hospitalares ltda.,-23.48,-47.45,brazil,,4.538669294,1.033764068,medical devices,2.786216681
laboratorio clínico continental,10.96,-74.79,colombia,,3.752916161,0.3209670696,medical devices,2.036941615
kojair tech oy,60.83,26.66,finland,,3.406918135,0.04585243852,medical devices,1.726385287
hiossen,40.85,-73.97,united states,,1.409205104,10,medical devices,5.704602552
galadtrans 2009 sl,39.75,-0.21,spain,,3.317899351,0.6252605252,medical devices,1.971579938
mediprime s.a.,37.98,23.73,greece,,4.688564847,0.02501042101,medical devices,2.356787634
philab labit,14.6,120.98,philippines,,5.768327874,0.07503126303,medical devices,2.921679568
savyon diagnostics ltd,31.79,34.64,israel,,2.651236039,0.06669445602,medical devices,1.358965247
"innovasis, inc.",40.76,-111.89,united states,,1.409205104,10,medical devices,5.704602552
creative foam medical systems,41.44,-86.14,united states,,1.409205104,10,medical devices,5.704602552
american diagnostic corporation,40.82,-73.2,united states,,1.409205104,10,medical devices,5.704602552
xpro sistemas ltda,-19.91,-43.93,brazil,,4.538669294,1.033764068,medical devices,2.786216681
systagenix,51.16,-0.18,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
lucas medical inc.,33.83,-117.91,united states,,1.409205104,10,medical devices,5.704602552
intrauma s.p.a.,45.07,7.51,italy,,3.351028959,0.7669862443,medical devices,2.059007602
meditron systems,18.97,72.82,india,,5.617063078,1.092121717,medical devices,3.354592398
acerey,-33.03,-71.62,chile,,4.027964811,0.2209253856,medical devices,2.124445098
philips health systems north america,42.65,-71.13,united states,,1.409205104,10,medical devices,5.704602552
novamed produtos hospitalares,-23.32,-46.55,brazil,,4.538669294,1.033764068,medical devices,2.786216681
ancar dental,41.5,2.38,spain,,3.317899351,0.6252605252,medical devices,1.971579938
maskovid,41.06,28.95,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
"modulight, inc.",37.33,-121.89,united states,,1.409205104,10,medical devices,5.704602552
eva-lution,41.63,-84.99,united states,,1.409205104,10,medical devices,5.704602552
slaney healthcare p ltd,23.02,72.58,india,,5.617063078,1.092121717,medical devices,3.354592398
noavaran darman atlas co.,35.69,51.42,iran,,,0.141725719,medical devices,
rbg produtos therapeuticos sa,-30.03,-51.23,brazil,,4.538669294,1.033764068,medical devices,2.786216681
axis-shield diagnostics,56.46,-2.97,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
"endicott research group, inc",42.09,-76.04,united states,,1.409205104,10,medical devices,5.704602552
plastic plus limited,43.7,-79.41,canada,,2.931045997,0.4918716132,medical devices,1.711458805
jomhédica - produtos médicos hospitalares,-30.03,-51.23,brazil,,4.538669294,1.033764068,medical devices,2.786216681
"beijing globalipl development co., ltd.",39.92,116.38,china,,7.677079716,2.530220925,medical devices,5.103650321
"adhezion biomedical, llc",40.32,-75.96,united states,,1.409205104,10,medical devices,5.704602552
whk biosystems,27.96,-82.8,united states,,1.409205104,10,medical devices,5.704602552
en vela®,-32.94,-60.63,argentina,,4.83545247,0.2000833681,medical devices,2.517767919
norav medical ltd.,26.46,-80.07,united states,,1.409205104,10,medical devices,5.704602552
prodent laboratory llc,40.71,-74,united states,,1.409205104,10,medical devices,5.704602552
ufm - unione farmaceutica mito s.r.l.,45.49,9.29,italy,,3.351028959,0.7669862443,medical devices,2.059007602
acteon india pvt. ltd,28.46,77.02,india,,5.617063078,1.092121717,medical devices,3.354592398
pielclinic,16.26,-93.23,mexico,,3.692419571,0.3334722801,medical devices,2.012945926
optosystems ltd.,55.48,37.3,russia,,,0.05002084202,medical devices,
honsador lumber,21.33,-158.05,united states,,1.409205104,10,medical devices,5.704602552
ultimate optical,-25.87,29.23,south africa,,4.50425314,0.1125468945,medical devices,2.308400017
parcus medical,27.33,-82.53,united states,,1.409205104,10,medical devices,5.704602552
centros médicos especializados cruz roja ecuatoriana,-0.21,-78.5,ecuador,,5.886653693,0.07919966653,medical devices,2.98292668
g&g medical products ltd.,42.25,-72.23,united states,,1.409205104,10,medical devices,5.704602552
purple surgical,51.5,-0.12,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
canberra packard,48.07,16.57,austria,,3.093696756,0.08336807003,medical devices,1.588532413
"endoscopy development company, llc",38.71,-90.42,united states,,1.409205104,10,medical devices,5.704602552
oratec interventions inc,32.78,-96.8,united states,,1.409205104,10,medical devices,5.704602552
agentis,33.59,-7.61,morocco,,6.360777137,0.04585243852,medical devices,3.203314788
"sr instruments, inc.",43.02,-78.88,united states,,1.409205104,10,medical devices,5.704602552
grupo cdm,-8.01,-34.95,brazil,,4.538669294,1.033764068,medical devices,2.786216681
reagentika llc,55.75,37.61,russia,,,0.05002084202,medical devices,
xlo,28.6,77.2,india,,5.617063078,1.092121717,medical devices,3.354592398
"polymer conversions, inc.",42.75,-78.74,united states,,1.409205104,10,medical devices,5.704602552
transportes grupo caliche sl,37.8,-0.83,spain,,3.317899351,0.6252605252,medical devices,1.971579938
majik medical solutions pvt. ltd.,17.38,78.45,india,,5.617063078,1.092121717,medical devices,3.354592398
"marsman drysdale medical products, inc.",14.56,121.03,philippines,,5.768327874,0.07503126303,medical devices,2.921679568
shah eye care,14.46,75.92,india,,5.617063078,1.092121717,medical devices,3.354592398
galbiati italia srl,45.46,9.19,italy,,3.351028959,0.7669862443,medical devices,2.059007602
solemnes,44.63,0.44,france,,2.92504587,0.5627344727,medical devices,1.743890172
urgo gmbh,49.49,11.75,germany,,2.830650556,0.9170487703,medical devices,1.873849663
"sight sciences, inc.",37.45,-122.18,united states,,1.409205104,10,medical devices,5.704602552
fogazzi,45.55,10.25,italy,,3.351028959,0.7669862443,medical devices,2.059007602
tecno4 produtos hospitalares ltda - distribuição de equipamentos e suprimentos médicos,-23.47,-46.66,brazil,,4.538669294,1.033764068,medical devices,2.786216681
ador diagnostics,41.99,12.72,italy,,3.351028959,0.7669862443,medical devices,2.059007602
anomet products,42.29,-71.71,united states,,1.409205104,10,medical devices,5.704602552
s1- safety 1st drug testing,27.94,-82.45,united states,,1.409205104,10,medical devices,5.704602552
cami salud,-31.42,-62.08,argentina,,4.83545247,0.2000833681,medical devices,2.517767919
avinger inc,37.48,-122.23,united states,,1.409205104,10,medical devices,5.704602552
ziemer ophthalmic systems ag,47.11,7.25,switzerland,,1.452147924,0.3668195081,medical devices,0.9094837162
masterdent ltda,6.17,-75.58,colombia,,3.752916161,0.3209670696,medical devices,2.036941615
j m pelegri sl,41.98,2.82,spain,,3.317899351,0.6252605252,medical devices,1.971579938
"bethesda-chevy chase orthopaedic associates, l.l.p",38.98,-77.1,united states,,1.409205104,10,medical devices,5.704602552
kcpmed group,37.56,126.97,south korea,,,0.04168403501,medical devices,
"active medical, inc.",40.27,-76.88,united states,,1.409205104,10,medical devices,5.704602552
medicomp inc.,28.08,-80.6,united states,,1.409205104,10,medical devices,5.704602552
reha group srl,41.96,12.66,italy,,3.351028959,0.7669862443,medical devices,2.059007602
optimed medizinische instrumente gmbh,48.95,8.4,germany,,2.830650556,0.9170487703,medical devices,1.873849663
"cardiosource medical equipment, inc.",14.6,120.98,philippines,,5.768327874,0.07503126303,medical devices,2.921679568
world vision company,37.56,126.97,south korea,,,0.04168403501,medical devices,
prismatic sensors,59.33,18.05,sweden,,2.304630783,0.1375573155,medical devices,1.221094049
roscoe medical,41.36,-81.81,united states,,1.409205104,10,medical devices,5.704602552
schoenheitsklinik.de,41.47,2.08,spain,,3.317899351,0.6252605252,medical devices,1.971579938
bmt medical technology s.r.o.,49.2,16.63,czechia,,,0.05418924552,medical devices,
jarvik heart incorporated,40.71,-74,united states,,1.409205104,10,medical devices,5.704602552
reassist,-25.41,-49.25,brazil,,4.538669294,1.033764068,medical devices,2.786216681
ctl medical corporation,32.95,-96.83,united states,,1.409205104,10,medical devices,5.704602552
optopol technology,50.48,19.43,poland,,3.566789798,0.141725719,medical devices,1.854257758
abingdon health,53.95,-1.08,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
"hangzhou ha precision engineering co.,ltd",30.29,120.16,china,,7.677079716,2.530220925,medical devices,5.103650321
gulf & world traders,25.25,55.3,united arab emirates,,3.907030444,0.07919966653,medical devices,1.993115055
pak tools surgical instruments,32.49,74.53,pakistan,,7.75782833,0.2709462276,medical devices,4.014387279
innovative therapies,26.27,-80.1,united states,,1.409205104,10,medical devices,5.704602552
bone-ti oficial,10.96,-74.79,colombia,,3.752916161,0.3209670696,medical devices,2.036941615
needle specialty products,33.7,-90.72,united states,,1.409205104,10,medical devices,5.704602552
entellus medical,45.01,-93.45,united states,,1.409205104,10,medical devices,5.704602552
clariance spine,49.61,2.97,france,,2.92504587,0.5627344727,medical devices,1.743890172
cassling,41.25,-95.94,united states,,1.409205104,10,medical devices,5.704602552
"wave form systems, inc",45.38,-122.76,united states,,1.409205104,10,medical devices,5.704602552
therapy pros,40.25,-74.39,united states,,1.409205104,10,medical devices,5.704602552
unimedica,10.63,-71.64,venezuela,,,0.02917882451,medical devices,
clínica san ignacio ltda,10.96,-74.79,colombia,,3.752916161,0.3209670696,medical devices,2.036941615
elixir medical corporation,37.42,-121.9,united states,,1.409205104,10,medical devices,5.704602552
roster s.a.,-31.41,-64.18,argentina,,4.83545247,0.2000833681,medical devices,2.517767919
"sonacare medical, llc",35.22,-80.84,united states,,1.409205104,10,medical devices,5.704602552
orthosnap corporation,40.75,-73.58,united states,,1.409205104,10,medical devices,5.704602552
north coast medical,37.13,-121.65,united states,,1.409205104,10,medical devices,5.704602552
totipotentsc,34.05,-118.24,united states,,1.409205104,10,medical devices,5.704602552
paragon 28,39.64,-104.98,united states,,1.409205104,10,medical devices,5.704602552
isolite systems,34.42,-119.69,united states,,1.409205104,10,medical devices,5.704602552
concert medical,42.16,-70.79,united states,,1.409205104,10,medical devices,5.704602552
btc,24.68,46.72,saudi arabia,,4.534072729,0.1208837015,medical devices,2.327478215
stöpler,52.09,5.12,netherlands,,2.534361494,0.3126302626,medical devices,1.423495878
z-medica,41.45,-72.82,united states,,1.409205104,10,medical devices,5.704602552
xact wire edm corp.,43.01,-88.23,united states,,1.409205104,10,medical devices,5.704602552
giantdid,41.79,123.43,china,,7.677079716,2.530220925,medical devices,5.103650321
hospitália cirúrgica catarinense,-27.61,-48.5,brazil,,4.538669294,1.033764068,medical devices,2.786216681
detecta clínica,-12.04,-77.02,peru,,5.610056712,0.1458941226,medical devices,2.877975417
chc healthcare group (4164),25.04,121.53,taiwan,,,0.1292205085,medical devices,
"shenzhen unique mold technology co., ltd",22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
wr specialists,42.27,-83.74,united states,,1.409205104,10,medical devices,5.704602552
kol-dental,52.25,21,poland,,3.566789798,0.141725719,medical devices,1.854257758
medis medical imaging systems bv,52.15,4.49,netherlands,,2.534361494,0.3126302626,medical devices,1.423495878
multi radiance medical,41.38,-81.44,united states,,1.409205104,10,medical devices,5.704602552
national display systems,32.78,-96.8,united states,,1.409205104,10,medical devices,5.704602552
apres salud-cobertura médica,-34.72,-58.25,argentina,,4.83545247,0.2000833681,medical devices,2.517767919
advanced cyclotron systems inc.,49.17,-123.13,canada,,2.931045997,0.4918716132,medical devices,1.711458805
normway,40.99,29.13,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
jm hightech ltd.,22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
delta trade company,41.03,28.98,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
santinelli international,40.82,-73.2,united states,,1.409205104,10,medical devices,5.704602552
harmar,27.33,-82.53,united states,,1.409205104,10,medical devices,5.704602552
accuvein inc.,40.81,-73,united states,,1.409205104,10,medical devices,5.704602552
acteon india sopro-comeg,23.21,72.68,india,,5.617063078,1.092121717,medical devices,3.354592398
teknicote,41.84,-71.35,united states,,1.409205104,10,medical devices,5.704602552
harvest terumo bct,39.7,-105.08,united states,,1.409205104,10,medical devices,5.704602552
clínica santa cruz,-12.06,-75.2,peru,,5.610056712,0.1458941226,medical devices,2.877975417
"guangzhou huaxi medical science technology co., ltd",23.11,113.25,china,,7.677079716,2.530220925,medical devices,5.103650321
synergus ab,62.51,16.05,sweden,,2.304630783,0.1375573155,medical devices,1.221094049
iradimed corporation,28.69,-81.3,united states,,1.409205104,10,medical devices,5.704602552
starfish medical,48.43,-123.36,canada,,2.931045997,0.4918716132,medical devices,1.711458805
inomedi inovacoes em medicina e implantes,-15.78,-47.91,brazil,,4.538669294,1.033764068,medical devices,2.786216681
novo precision llc,41.68,-72.94,united states,,1.409205104,10,medical devices,5.704602552
mawatec ag,47.2,7.45,switzerland,,1.452147924,0.3668195081,medical devices,0.9094837162
alert1,41.24,-77,united states,,1.409205104,10,medical devices,5.704602552
"imo - indústrias metalúrgicas, s.a.",41.19,-8.26,portugal,,3.721916237,0.05418924552,medical devices,1.888052741
peter brehm gmbh,49.62,10.82,germany,,2.830650556,0.9170487703,medical devices,1.873849663
hunan jiuhong medical technology,28.19,112.97,china,,7.677079716,2.530220925,medical devices,5.103650321
genesis reference laboratories,28.53,-81.37,united states,,1.409205104,10,medical devices,5.704602552
laboratorios petrolab s.a. de c.v,19.54,-99.19,mexico,,3.692419571,0.3334722801,medical devices,2.012945926
fresenius hemocare italia s.r.l.,44.88,11.06,italy,,3.351028959,0.7669862443,medical devices,2.059007602
"digio2 international co., ltd.",25.08,121.55,taiwan,,,0.1292205085,medical devices,
cellnovo group sa,48.85,2.34,france,,2.92504587,0.5627344727,medical devices,1.743890172
jms - healthcare furniture,40.73,-8.63,portugal,,3.721916237,0.05418924552,medical devices,1.888052741
cliniqa,33.14,-117.16,united states,,1.409205104,10,medical devices,5.704602552
acorn stairlifts canada,43.38,-79.83,canada,,2.931045997,0.4918716132,medical devices,1.711458805
gabisa medical international - gmi,-23.48,-47.45,brazil,,4.538669294,1.033764068,medical devices,2.786216681
hmd biomedical inc.,24.81,120.96,taiwan,,,0.1292205085,medical devices,
kiro robotics,43.16,-2.16,spain,,3.317899351,0.6252605252,medical devices,1.971579938
"central surgical co. ltd.,",32.49,74.53,pakistan,,7.75782833,0.2709462276,medical devices,4.014387279
helicon company,41.01,-73.68,united states,,1.409205104,10,medical devices,5.704602552
ezywrap,30.72,-86.11,united states,,1.409205104,10,medical devices,5.704602552
taimin - cienlabor indústria e comércio ltda,-23.47,-46.66,brazil,,4.538669294,1.033764068,medical devices,2.786216681
eye safety plus,43.7,-79.41,canada,,2.931045997,0.4918716132,medical devices,1.711458805
neuromedex,53.55,10,germany,,2.830650556,0.9170487703,medical devices,1.873849663
sam medical,45.38,-122.76,united states,,1.409205104,10,medical devices,5.704602552
"epower electronics&science co.,ltd",22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
proveedora de material quirúrgico,20.72,-103.38,mexico,,3.692419571,0.3334722801,medical devices,2.012945926
esight france,44.63,0.44,france,,2.92504587,0.5627344727,medical devices,1.743890172
katahdin industries,42.24,-71.16,united states,,1.409205104,10,medical devices,5.704602552
swan polychem and lifesciences private limited,18.32,72.96,india,,5.617063078,1.092121717,medical devices,3.354592398
aysam orthopaedics and medical devices,41.53,34.72,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
optotek medical,46.05,14.51,slovenia,,4.449518387,0.004168403501,medical devices,2.226843395
hospithera,50.83,4.33,belgium,,2.111148829,0.1125468945,medical devices,1.111847862
college park industries,42.47,-83.02,united states,,1.409205104,10,medical devices,5.704602552
"hebei satcon medical equipment trading co.,ltd",39.9,116.39,china,,7.677079716,2.530220925,medical devices,5.103650321
phamedica inc.,40.77,-73.46,united states,,1.409205104,10,medical devices,5.704602552
stealth mask®,53.76,-2.71,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
genetic test kit|dna collection kit|dna paternity test kit wholesale,22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
accumed innovative technologies,42.88,-78.87,united states,,1.409205104,10,medical devices,5.704602552
"hitgene. co., ltd.",45.75,126.65,china,,7.677079716,2.530220925,medical devices,5.103650321
mozo-grau,41.65,-4.72,spain,,3.317899351,0.6252605252,medical devices,1.971579938
xeridiem medical devices,32.22,-110.92,united states,,1.409205104,10,medical devices,5.704602552
portodent protese dentaria sociedade simples,-30.03,-51.23,brazil,,4.538669294,1.033764068,medical devices,2.786216681
ecm america - medical device certification,25.77,-80.19,united states,,1.409205104,10,medical devices,5.704602552
microdent implant system,41.65,2.22,spain,,3.317899351,0.6252605252,medical devices,1.971579938
variteks orthopedics,40.99,28.9,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
dumas-international cro,51.54,-0.58,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
"foshan anya medical technology co.,ltd",23.02,113.13,china,,7.677079716,2.530220925,medical devices,5.103650321
vaxcare,28.53,-81.37,united states,,1.409205104,10,medical devices,5.704602552
precision medical inc.,42.32,-72.64,united states,,1.409205104,10,medical devices,5.704602552
valuepack b.v.,51.83,5.86,netherlands,,2.534361494,0.3126302626,medical devices,1.423495878
ambu gmbh,50.36,8.75,germany,,2.830650556,0.9170487703,medical devices,1.873849663
alma lasers,42.15,-87.95,united states,,1.409205104,10,medical devices,5.704602552
precision coatings pvt. ltd.,22.71,75.83,india,,5.617063078,1.092121717,medical devices,3.354592398
"on-x life technologies, inc",30.26,-97.74,united states,,1.409205104,10,medical devices,5.704602552
avalon biomed,29.76,-95.36,united states,,1.409205104,10,medical devices,5.704602552
vmi médica,-19.63,-43.88,brazil,,4.538669294,1.033764068,medical devices,2.786216681
silony medical,47.55,8.89,switzerland,,1.452147924,0.3668195081,medical devices,0.9094837162
angiotech biomaterials corporation,37.44,-122.14,united states,,1.409205104,10,medical devices,5.704602552
"bionicare medical technologies, inc.",33.66,-117.82,united states,,1.409205104,10,medical devices,5.704602552
corindus vascular robotics,42.37,-71.23,united states,,1.409205104,10,medical devices,5.704602552
fame devices corporation,32.49,74.53,pakistan,,7.75782833,0.2709462276,medical devices,4.014387279
ems emergency mobile systems,40.04,34.91,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
medivant (suzhou) medical equipment company,31.3,120.59,china,,7.677079716,2.530220925,medical devices,5.103650321
sermed comercio de material hospitalar,-22.9,-43.18,brazil,,4.538669294,1.033764068,medical devices,2.786216681
tehran arkak co. ltd.,35.69,51.42,iran,,,0.141725719,medical devices,
neomend,33.66,-117.82,united states,,1.409205104,10,medical devices,5.704602552
darby dental supply,40.79,-73.54,united states,,1.409205104,10,medical devices,5.704602552
sincronia medica aplicada,19.44,-99.86,mexico,,3.692419571,0.3334722801,medical devices,2.012945926
"d&s dental, llc",36.31,-82.35,united states,,1.409205104,10,medical devices,5.704602552
vdl konings,51.23,6.03,netherlands,,2.534361494,0.3126302626,medical devices,1.423495878
soluscope,43.29,5.58,france,,2.92504587,0.5627344727,medical devices,1.743890172
cayenne medical,33.5,-111.89,united states,,1.409205104,10,medical devices,5.704602552
prorehab louisville,37.97,-87.55,united states,,1.409205104,10,medical devices,5.704602552
vamvas medicals,37.98,23.73,greece,,4.688564847,0.02501042101,medical devices,2.356787634
new valve technology,47.27,8.33,switzerland,,1.452147924,0.3668195081,medical devices,0.9094837162
warba medical supplies company,29.36,47.97,kuwait,,5.972174553,0.01667361401,medical devices,2.994424084
sysmex türkiye,41.21,29.05,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
sisnacmed soluções em saúde,-23.47,-46.66,brazil,,4.538669294,1.033764068,medical devices,2.786216681
i̇muneks farma,41.07,29.02,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
hebel medical devices,-23.47,-46.66,brazil,,4.538669294,1.033764068,medical devices,2.786216681
futura surgicare private limited,12.97,77.59,india,,5.617063078,1.092121717,medical devices,3.354592398
premier guard usa,32.29,-90.18,united states,,1.409205104,10,medical devices,5.704602552
philmed gesundheit gmbh,50.92,11.58,germany,,2.830650556,0.9170487703,medical devices,1.873849663
"bentec medical, inc.",38.67,-121.77,united states,,1.409205104,10,medical devices,5.704602552
gabler medical,-33.92,18.42,south africa,,4.50425314,0.1125468945,medical devices,2.308400017
nooraseman,35.69,51.42,iran,,,0.141725719,medical devices,
source medical ltd.,51.63,-0.76,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
escoffier freres,46.38,6.54,france,,2.92504587,0.5627344727,medical devices,1.743890172
sysmex,51.81,5.69,netherlands,,2.534361494,0.3126302626,medical devices,1.423495878
merqurio pharma s.r.l.,40.83,14.25,italy,,3.351028959,0.7669862443,medical devices,2.059007602
medclean comercial,-30.03,-51.23,brazil,,4.538669294,1.033764068,medical devices,2.786216681
arthrex california inc,34.02,-117.86,united states,,1.409205104,10,medical devices,5.704602552
nobel china ltd,23.01,113.74,china,,7.677079716,2.530220925,medical devices,5.103650321
pt. oriontama jaya,3.58,98.66,indonesia,,7.45174443,0.05418924552,medical devices,3.752966838
"miltex, inc",39.96,-76.72,united states,,1.409205104,10,medical devices,5.704602552
mmi sonora,37.98,-120.38,united states,,1.409205104,10,medical devices,5.704602552
claisse div. de spectris canada inc.,46.8,-71.25,canada,,2.931045997,0.4918716132,medical devices,1.711458805
valtech cardio,32.03,34.84,israel,,2.651236039,0.06669445602,medical devices,1.358965247
lider optike : vidimo se!,45.8,16,croatia,,4.294165307,0.004168403501,medical devices,2.149166855
jensen dental,41.38,-72.85,united states,,1.409205104,10,medical devices,5.704602552
laboratorio clínico aclin,-33.02,-71.55,chile,,4.027964811,0.2209253856,medical devices,2.124445098
baxter hospitalar ltda.,-20.48,-50.18,brazil,,4.538669294,1.033764068,medical devices,2.786216681
aztalan engineering inc.,43.08,-88.91,united states,,1.409205104,10,medical devices,5.704602552
timik group ab,59.42,17.95,sweden,,2.304630783,0.1375573155,medical devices,1.221094049
sphinx tools ag,47.19,7.58,switzerland,,1.452147924,0.3668195081,medical devices,0.9094837162
statlab medical products,33.19,-96.61,united states,,1.409205104,10,medical devices,5.704602552
novogi,33.74,-84.38,united states,,1.409205104,10,medical devices,5.704602552
"avizor, s.a.",40.32,-3.76,spain,,3.317899351,0.6252605252,medical devices,1.971579938
biovation orthopaedic solutions ltd,53.45,-1.25,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
maritimas reunidas sa,40.42,-3.53,spain,,3.317899351,0.6252605252,medical devices,1.971579938
iptec pte ltd,1.29,103.85,singapore,,1.808076323,0.1792413506,medical devices,0.9936588366
"boston brace international, inc.",42.12,-71.04,united states,,1.409205104,10,medical devices,5.704602552
cooper surgical inc,26.91,-80.11,united states,,1.409205104,10,medical devices,5.704602552
"wuhan xunshu technology co.,ltd",30.58,114.27,china,,7.677079716,2.530220925,medical devices,5.103650321
ealigner,23.11,113.25,china,,7.677079716,2.530220925,medical devices,5.103650321
med-lab supply co. inc.,25.77,-80.19,united states,,1.409205104,10,medical devices,5.704602552
active wealth realm line corp,14.56,121.21,philippines,,5.768327874,0.07503126303,medical devices,2.921679568
instrumental tecnico,-3.1,-60.02,brazil,,4.538669294,1.033764068,medical devices,2.786216681
qualident dental labor,25.25,55.3,united arab emirates,,3.907030444,0.07919966653,medical devices,1.993115055
bio-medical research limited,53.27,-9.04,ireland,,0,0.1375573155,medical devices,0.06877865777
elektro-mag laboratuvar aletleri san ve tic a.ş.,41.07,28.78,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
